,,,,,,,,,,,,,,,categoryID1::SubCategoryID1___ categoryID2::SubCategoryID2,,,,,,,,,,,,,,,,,,,,,,,
Item Code,Product Name,Product Status,Product In Stock Status,Variants for item code,SKU ID,Pack Size,Units,Price,Before Off Price,Variants Stock,Variants Status,Variants In Stock Status,Category Id,category,Sub Category Id,Sub Category name,Child Category Id,Child Category name,HSN Code,IGST,CGST,SGST,Image1,Image2,Image3,Image4,Image5,Image6,Description for Item code,Description header name,Description Details,Description Status,Discription Id,Variants Updated By,Variants Id,Product Updated by,Product Id,Add date
,,,,A0074,Roasted_salted_almons_2,200,g,200,0,200,1,1,,,,,,,,,,,,,,,,,,,,,,,147,,,
,,,,A0074,Roasted_salted_almons_3,500,g,300,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,148,,,
A0073,Munakka,1,1,A0073,Munakka_1,100,g,200,0,122,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029837101.jpg,17029837102.jpg,17029837106.jpg,17029837103.jpg,17029837104.jpg,17029837105.jpg,,,,,,,143,Admin,74,19-12-2023 06:01
,,,,A0073,Munakka_2,200,g,300,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,144,,,
,,,,A0073,Munakka_3,500,g,400,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,145,,,
A0072,Jardaloo,1,1,A0072,Jardaloo_1,200,g,220,0,200,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029835571.jpg,17029835572.jpg,17029835576.jpg,17029835574.jpg,17029835573.jpg,17029835575.jpg,,,,,,,141,Admin,73,19-12-2023 05:59
,,,,A0072,Jardaloo_2,500,g,350,0,200,1,1,,,,,,,,,,,,,,,,,,,,,,,142,,,
A0071,Raisins Afghani,1,1,A0071,Raisins_Afghani_1,100,g,100,0,100,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029833991.jpg,17029833992.jpg,17029833993.jpg,17029833994.jpg,17029833996.jpg,17029833995.jpg,,,,,,,138,Admin,72,19-12-2023 05:56
,,,,A0071,Raisins_Afghani_2,200,g,120,0,200,1,1,,,,,,,,,,,,,,,,,,,,,,,139,,,
,,,,A0071,Raisins_Afghani_3,500,g,400,0,300,1,1,,,,,,,,,,,,,,,,,,,,,,,140,,,
A0070,Raisins Indian,1,1,A0070,Raisins_Indian_1,100,g,120,0,100,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029832081.jpg,17029832082.jpg,17029832083.jpg,17029832086.jpg,17029832084.jpg,17029832085.jpg,,,,,,,135,Admin,71,19-12-2023 05:53
,,,,A0070,Raisins_Indian_2,200,g,240,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,136,,,
,,,,A0070,Raisins_Indian_3,500,g,350,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,137,,,
