,,,,,,,,,,,,,,,,,,,,,,,,,Delivery Type,,,,,,,,,,,,,,,,,,,,,,
Item Code,Product Name,Product Status,Product In Stock Status,Variants for item code,SKU ID,Pack Size,Units,Price,Variants Stock,Conversion Factor (Kg),Variants Status,Variants In Stock Status,Category Id,category,Sub Category Id,Sub Category name,HSN Code,IGST,CGST,SGST,Ingredients,Shelf life Period,Shelf life Period Type,Storage Condition,International Delivery,National Delivery,Excluding Local & Hyperlocal (Within Maharashtra),Hyperlocal Delivery,Local Delivery,Pick-up from store,Food Habitats,Quick Description,Tags,Image1,Image2,Image3,Image4,Description for Item code,Description header name,Description Details,Description Status,Discription Id,Variants Updated By,Variants Id,Product Updated by,Product Id,Add date
,,,,A0921,0921_10,10,pc,280,10,0.63,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,
A0919,Rasraj,1,1,A0919,0919_05,5,pc,225,10,0.25,1,1,2,Sweets,17,Bengali Sweets,2106,5,2.5,2.5,"Cow Milk, Buffalo Milk, Pharma Grade Sugar, Dryfruits, Dried Fruits, Cardamom, Saffron, Citric Acid & Silver Leaves (Chandi Waraq)",1,day,"Cool & Dry Place, Refrigerator",0,0,0,1,1,1,,,,rasraj.jpg,,,,,,,,,,402,krishna,164,12/10/2022 18:06
,,,,A0919,0919_10,10,pc,450,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,,,
A0918,Pakija ,1,1,A0918,0918_05,5,pc,250,10,0.25,1,1,2,Sweets,17,Bengali Sweets,2106,5,2.5,2.5,"Cow Milk, Buffalo Milk, Pharma Grade Sugar, Dryfruits, Dried Fruits, Cardamom, Saffron, Citric Acid & Silver Leaves (Chandi Waraq)",1,day,"Cool & Dry Place, Refrigerator",0,0,0,1,1,1,,,,,,,,,,,,,,400,krishna,163,12/10/2022 18:06
,,,,A0918,0918_10,10,pc,500,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,,,
A0917,Pineapple Sandwich,1,1,A0917,0917_05,5,pc,250,10,0.25,1,1,2,Sweets,17,Bengali Sweets,2106,5,2.5,2.5,"Cow Milk, Buffalo Milk, Pharma Grade Sugar, Dryfruits, Dried Fruits, Cardamom, Saffron, Citric Acid & Silver Leaves (Chandi Waraq)",1,day,"Cool & Dry Place, Refrigerator",0,0,0,1,1,1,,,,,,,,,,,,,,398,krishna,162,12/10/2022 18:06
,,,,A0917,0917_10,10,pc,500,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,,
A0916,Malai Sandwich,1,1,A0916,0916_05,5,pc,225,10,0.25,1,1,2,Sweets,17,Bengali Sweets,2106,5,2.5,2.5,"Cow Milk, Buffalo Milk, Pharma Grade Sugar, Dryfruits, Dried Fruits, Cardamom, Saffron, Citric Acid & Silver Leaves (Chandi Waraq)",1,day,"Cool & Dry Place, Refrigerator",0,0,0,1,1,1,,,,,,,,,,,,,,396,krishna,161,12/10/2022 18:06
,,,,A0916,0916_10,10,pc,450,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,
A0914,Strawberry Rasmanjuri,1,1,A0914,0914_05,5,pc,225,10,0.25,1,1,2,Sweets,17,Bengali Sweets,2106,5,2.5,2.5,"Cow Milk, Buffalo Milk, Pharma Grade Sugar, Cardamom, Strawberry Crush & Citric Acid",1,day,"Cool & Dry Place, Refrigerator",0,0,0,1,1,1,,,,,,,,,,,,,,394,krishna,160,12/10/2022 18:06
,,,,A0914,0914_10,10,pc,450,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,
A0913,Sp. Basundi,1,1,A0913,0913_250,250,g,175,10,0.25,1,1,2,Sweets,17,Bengali Sweets,2106,5,2.5,2.5,"Cow Milk, Buffalo Milk, Pharma Grade Sugar, Cardamom, Saffron & Citric Acid",1,day,"Cool & Dry Place, Refrigerator",0,0,0,1,1,1,,,,,,,,,,,,,,392,krishna,159,12/10/2022 18:06
,,,,A0913,0913_500,500,g,350,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,
A0912,Keshar Rasmalai,1,1,A0912,0912_05,5,pc,175,10,0.25,1,1,2,Sweets,17,Bengali Sweets,2106,5,2.5,2.5,"Cow Milk, Buffalo Milk, Pharma Grade Sugar, Cardamom, Saffron & Citric Acid",1,day,"Cool & Dry Place, Refrigerator",0,0,0,1,1,1,,,,,,,,,,,,,,390,krishna,158,12/10/2022 18:06
,,,,A0912,0912_10,10,pc,350,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,,,
A0903,Kalajamun,1,1,A0903,0903_05,5,pc,175,10,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Buffalo Milk, Pharma Grade Sugar, Clarified Butter (Deshi Ghee), Fine Flour (Maida), Dryfruits, Vanilla Powder & Saffron",3,days,"Room Temperature, Air-Tight, Away from excessive heat & direct sunlight..",0,0,0,1,1,1,,,,Kala-Jamun.jpg,,,,,,,,,,388,krishna,157,12/10/2022 18:06
,,,,A0903,0903_10,10,pc,350,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,
A0902,Mini Jamun,1,1,A0902,0902_250,250,g,140,10,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Buffalo Milk, Pharma Grade Sugar, Clarified Butter (Deshi Ghee), Fine Flour (Maida), Dryfruits, Cardamom & Saffron",3,days,"Room Temperature, Air-Tight, Away from excessive heat & direct sunlight..",0,0,0,1,1,1,,,,Mini-Jamun.jpg,,,,,,,,,,387,krishna,156,12/10/2022 18:06
A0901,Gulabjamun,1,1,A0901,0901_05,5,pc,140,10,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Buffalo Milk, Pharma Grade Sugar, Clarified Butter (Deshi Ghee), Fine Flour (Maida), Dryfruits, Cardamom & Saffron",3,days,"Room Temperature, Air-Tight, Away from excessive heat & direct sunlight..",0,0,0,1,1,1,,,,Gulab-Jamun.jpg,,,,,,,,,,385,krishna,155,12/10/2022 18:06
,,,,A0901,0901_10,10,pc,280,10,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,,,
A0868,Jalebi,1,1,A0868,0868_250,250,g,145,20,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,,1,day,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",0,0,0,1,1,1,,,,Sp.-Keshar-Jalebi.jpg,,,,,,,,,,382,krishna,154,12/10/2022 18:06
,,,,A0868,0868_500,500,g,290,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,,,
,,,,A0868,0868_1000,1,Kg,580,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,,,
A0865,Karanji,0,1,A0865,0865_250,250,g,230,20,0.25,0,0,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,,6,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",0,0,1,1,1,1,,,,Karanji.jpg,,,,,,,,,,379,krishna,153,12/10/2022 18:06
,,,,A0865,0865_500,500,g,460,20,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,,
,,,,A0865,0865_1000,1,Kg,920,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,,,
A0864,Chana Roast Barfi,1,1,A0864,0864_250,250,g,230,20,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Gram Flour (Besan), Pharma Grade Sugar, Clarified Butter (Deshi Ghee), Almonds, Pistachio, Spices & Condiments",14,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,40 Pc.s/Kg,,Chana-Roast-Barfi.jpg,,,,,,,,,,376,krishna,152,12/10/2022 18:06
