Pincode_Id,Pincode,City,"Werehouse Code","Updated By",Date,Status
1093,440003,nagpur,midc,,"2024-02-04 05:28:26",1
1102,440004,nagpur,midc,,"2024-02-04 05:28:26",1
1111,440005,nagpur,midc,,"2024-02-04 05:28:26",1
1120,440006,nagpur,midc,,"2024-02-04 05:28:26",1
1129,440007,nagpur,midc,,"2024-02-04 05:28:26",1
1138,440008,nagpur,midc,,"2024-02-04 05:28:26",1
1147,440009,nagpur,midc,,"2024-02-04 05:28:26",1
1156,440010,nagpur,midc,,"2024-02-04 05:28:26",1
1165,440011,nagpur,midc,,"2024-02-04 05:28:26",1
1174,440012,nagpur,midc,,"2024-02-04 05:28:26",1
1182,440013,nagpur,midc,,"2024-02-04 05:28:26",1
1191,440014,nagpur,midc,,"2024-02-04 05:28:26",1
1200,440015,nagpur,midc,,"2024-02-04 05:28:26",1
1209,440016,nagpur,midc,,"2024-02-04 05:28:26",1
1218,440017,nagpur,midc,,"2024-02-04 05:28:26",1
1227,440018,nagpur,midc,,"2024-02-04 05:28:26",1
1236,440019,nagpur,midc,,"2024-02-04 05:28:26",1
1245,440020,nagpur,midc,,"2024-02-04 05:28:26",1
1254,440021,nagpur,midc,,"2024-02-04 05:28:26",1
1263,440022,nagpur,midc,,"2024-02-04 05:28:26",1
1272,440023,nagpur,midc,,"2024-02-04 05:28:26",1
1280,440024,nagpur,midc,,"2024-02-04 05:28:26",1
1289,440025,nagpur,midc,,"2024-02-04 05:28:26",1
1298,440026,nagpur,midc,,"2024-02-04 05:28:26",1
1306,440027,nagpur,midc,,"2024-02-04 05:28:26",1
1315,440028,nagpur,midc,,"2024-02-04 05:28:26",1
1324,440029,nagpur,midc,,"2024-02-04 05:28:26",1
1333,440030,nagpur,midc,,"2024-02-04 05:28:26",1
1339,440031,nagpur,midc,,"2024-02-04 05:28:26",1
1346,440032,nagpur,midc,,"2024-02-04 05:28:26",1
1355,440033,nagpur,midc,,"2024-02-04 05:28:26",1
1363,440034,nagpur,midc,,"2024-02-04 05:28:26",1
1372,440035,nagpur,midc,,"2024-02-04 05:28:26",1
1381,440036,nagpur,midc,,"2024-02-04 05:28:26",1
1389,440037,nagpur,midc,,"2024-02-04 05:28:26",1
1394,440038,nagpur,midc,,"2024-02-04 05:28:26",1
1399,440104,nagpur,midc,,"2024-02-04 05:28:26",1
1401,440531,nagpur,midc,,"2024-02-04 05:28:26",1
